gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4847241629	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/207275371	Animalia	Chordata	Mammalia	Carnivora	Canidae	Canis	Canis latrans		SPECIES	Canis latrans Say, 1823	Canis latrans		CR		Cartago	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.978787	-83.83503	4.0						2024-04-14T15:44:44	14	4	2024	5219153	5219153	HUMAN_OBSERVATION	iNaturalist	Observations	207275371		Joshua Wade Covill	2024-04-14T22:07:04	CC_BY_NC_4_0	Joshua Wade Covill	Joshua Wade Covill			2024-04-21T17:37:15.345Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4846830005	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/206641396	Animalia	Chordata	Mammalia	Carnivora	Canidae	Canis	Canis latrans		SPECIES	Canis latrans Say, 1823	Canis latrans		CR		Alajuela	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.940128	-84.375885	48.0						2024-04-02T12:13:11	2	4	2024	5219153	5219153	HUMAN_OBSERVATION	iNaturalist	Observations	206641396		dorianchinchilla	2024-04-11T17:01:45	CC_BY_NC_4_0	dorianchinchilla	dorianchinchilla			2024-04-21T17:38:24.791Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4597334542	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/201626338	Animalia	Chordata	Mammalia	Carnivora	Canidae	Canis	Canis latrans		SPECIES	Canis latrans Say, 1823	Canis latrans		CR		Guanacaste	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.378366	-85.338935	1201.0						2024-03-04T17:41	4	3	2024	5219153	5219153	HUMAN_OBSERVATION	iNaturalist	Observations	201626338		krp0043	2024-03-07T23:43:12	CC_BY_NC_4_0	krp0043	krp0043			2024-04-21T18:00:46.693Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4528295546	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/200338748	Animalia	Chordata	Mammalia	Carnivora	Canidae	Canis	Canis latrans		SPECIES	Canis latrans Say, 1823	Canis latrans		CR		San José	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.992624	-83.992312	211.0						2024-02-22T07:50	22	2	2024	5219153	5219153	HUMAN_OBSERVATION	iNaturalist	Observations	200338748		Erik Daniel Erikson	2024-02-25T00:22:30	CC_BY_NC_4_0	Erik Daniel Erikson	Erik Daniel Erikson			2024-04-21T18:00:54.810Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4519348473	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/198599169	Animalia	Chordata	Mammalia	Carnivora	Canidae	Canis	Canis latrans		SPECIES	Canis latrans Say, 1823	Canis latrans		CR		Cartago	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.949465	-83.86139	85.0						2024-01-22T13:46	22	1	2024	5219153	5219153	HUMAN_OBSERVATION	iNaturalist	Observations	198599169		Sam Darmstadt	2024-02-06T21:40:15	CC_BY_NC_4_0	Sam Darmstadt	Sam Darmstadt			2024-04-21T17:59:58.661Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4519189273	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/198411281	Animalia	Chordata	Mammalia	Carnivora	Canidae	Canis	Canis latrans		SPECIES	Canis latrans Say, 1823	Canis latrans		CR		Cartago	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.583226	-83.763254	4.0						2023-12-31T11:37	31	12	2023	5219153	5219153	HUMAN_OBSERVATION	iNaturalist	Observations	198411281		Sophia Sperduto	2024-02-04T18:01:36	CC_BY_NC_4_0	Sophia Sperduto	Sophia Sperduto			2024-04-21T18:00:19.510Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4519132403	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/197666253	Animalia	Chordata	Mammalia	Carnivora	Canidae	Canis	Canis latrans		SPECIES	Canis latrans Say, 1823	Canis latrans		CR		Puntarenas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.308305	-84.793373	1355.0						2017-01-05T21:50:34	5	1	2017	5219153	5219153	HUMAN_OBSERVATION	iNaturalist	Observations	197666253		rjaffrey	2024-01-27T05:14:12	CC_BY_NC_4_0	rjaffrey	rjaffrey			2024-04-21T18:36:41.103Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4516905631	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/197982945	Animalia	Chordata	Mammalia	Carnivora	Canidae	Canis	Canis latrans		SPECIES	Canis latrans Say, 1823	Canis latrans		CR		San José	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.564326	-83.801552	2734.0						2024-01-26T06:23	26	1	2024	5219153	5219153	HUMAN_OBSERVATION	iNaturalist	Observations	197982945		VALENTINA ROUMI	2024-01-30T16:44:31	CC_BY_NC_4_0	VALENTINA ROUMI	VALENTINA ROUMI			2024-04-21T18:00:36.779Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4516719918	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/197502959	Animalia	Chordata	Mammalia	Carnivora	Canidae	Canis	Canis latrans		SPECIES	Canis latrans Say, 1823	Canis latrans		CR		San José	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.797351	-84.197413	168.0						2023-12-20T06:45	20	12	2023	5219153	5219153	HUMAN_OBSERVATION	iNaturalist	Observations	197502959		Daniel Arias	2024-01-25T01:29:03	CC_BY_NC_4_0	Daniel Arias	Daniel Arias			2024-04-21T17:59:33.619Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4512377170	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/196583772	Animalia	Chordata	Mammalia	Carnivora	Canidae	Canis	Canis latrans		SPECIES	Canis latrans Say, 1823	Canis latrans		CR		Guanacaste	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.456362	-84.971351	4654.0						2017-04-05T19:41	5	4	2017	5219153	5219153	HUMAN_OBSERVATION	iNaturalist	Observations	196583772		luisguiacostarica	2024-01-13T21:50:49	CC_BY_NC_4_0	luisguiacostarica	luisguiacostarica			2024-04-21T18:01:44.852Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4512170679	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/196342177	Animalia	Chordata	Mammalia	Carnivora	Canidae	Canis	Canis latrans		SPECIES	Canis latrans Say, 1823	Canis latrans		CR		Puntarenas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	8.838937	-82.992514	26.0						2024-01-11T04:32	11	1	2024	5219153	5219153	HUMAN_OBSERVATION	iNaturalist	Observations	196342177		Jeffry Torres	2024-01-11T10:39:54	CC_BY_NC_4_0	Jeffry Torres	Jeffry Torres			2024-04-21T18:01:02.489Z	Sound	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4458699097	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/193010620	Animalia	Chordata	Mammalia	Carnivora	Canidae	Canis	Canis latrans		SPECIES	Canis latrans Say, 1823	Canis latrans		CR		San José	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.908438	-84.025212	24.0						2023-12-03T23:45:15	3	12	2023	5219153	5219153	HUMAN_OBSERVATION	iNaturalist	Observations	193010620		alexbarr	2023-12-04T05:45:56	CC_BY_NC_4_0	alexbarr	alexbarr			2024-04-21T17:36:56.910Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
